Services,Visits,Time,Rejected,Date
2074,268,1148.79,840,5/14/2025 0:00
600,116,448.42,286,5/14/2025 4:00
170,36,148.31,125,5/14/2025 8:00
1169,255,1154.08,700,5/14/2025 12:00
2371,423,1798.72,1244,5/14/2025 16:00
1191,358,1173.36,775,5/14/2025 20:00
759,217,693.55,496,5/15/2025 0:00
654,114,489.41,483,5/15/2025 4:00
320,64,229.84,203,5/15/2025 8:00
933,227,965.25,679,5/15/2025 12:00
1388,309,1681.9,983,5/15/2025 16:00
790,239,802.95,568,5/15/2025 20:00
638,161,595.57,433,5/16/2025 0:00
446,85,338.07,284,5/16/2025 4:00
316,73,310.78,210,5/16/2025 8:00
485,93,423.17,363,5/16/2025 12:00
440,90,515.41,347,5/16/2025 16:00
462,96,520.96,337,5/16/2025 20:00
335,80,359.34,246,5/17/2025 0:00
546,119,474.09,380,5/17/2025 4:00
459,68,388.31,325,5/17/2025 8:00
782,214,840.82,525,5/17/2025 12:00
1173,304,1250.11,890,5/17/2025 16:00
1083,331,1017.84,762,5/17/2025 20:00
789,218,718.82,515,5/18/2025 0:00
200,31,188.38,53,5/18/2025 4:00
499,100,300,400,5/18/2025 8:00
722,177,588.56,546,5/18/2025 12:00
1223,288,1283.6,838,5/18/2025 16:00
